"# Raw surface EMG excerpt, Santuz et al. 2021, CC BY 4.0"
# source,https://doi.org/10.5281/zenodo.5171823
# trial,ID0001_M_YOUNG_TW_01
# sampling_rate_hz,1000
# units,millivolt
# touchdown_s,0.6990;1.7410;2.7830;3.8240;4.8830;5.9240;6.9580;7.9990
# regenerate,python scripts/extract_emg_demo.py
time_s,ta_mv,gm_mv,rf_mv
0.48500,0.000139,0.004186,-0.005690
0.48600,0.003539,0.006291,0.005967
0.48700,0.009205,0.009529,0.005319
0.48800,0.002081,-0.003261,-0.000671
0.48900,0.004834,0.006776,-0.004556
0.49000,-0.003099,-0.001966,0.005481
0.49100,-0.014756,-0.004556,0.009205
0.49200,0.002405,0.003215,-0.005204
0.49300,-0.005204,-0.004071,0.001272
0.49400,-0.008280,0.008557,-0.016375
0.49500,-0.004880,-0.003261,0.003053
0.49600,-0.006661,-0.003909,-0.003261
0.49700,-0.005690,0.002243,-0.003909
0.49800,0.007262,0.008234,-0.006337
0.49900,0.003539,-0.002452,-0.003747
0.50000,0.003700,-0.002775,-0.005528
0.50100,-0.008604,-0.009899,0.001596
0.50200,0.000624,-0.008442,0.000948
0.50300,-0.000347,0.009205,-0.001318
0.50400,-0.008766,-0.007632,-0.006175
0.50500,-0.006499,0.005319,-0.006499
0.50600,-0.003747,-0.013784,0.000139
0.50700,0.002567,-0.011356,-0.003585
0.50800,-0.011356,0.004186,-0.005204
0.50900,0.004024,-0.005204,-0.006823
0.51000,0.002243,0.008719,0.001110
0.51100,0.010014,0.004996,0.007424
0.51200,0.000463,-0.002775,0.001596
0.51300,0.002405,-0.004233,-0.001966
0.51400,0.037213,-0.006661,-0.001642
0.51500,0.028794,0.003700,0.004348
0.51600,0.054050,-0.003909,-0.004880
0.51700,0.053241,-0.010061,-0.000995
0.51800,0.058098,-0.003747,-0.007147
0.51900,0.023776,-0.002937,-0.003261
0.52000,-0.024631,-0.004233,-0.008766
0.52100,0.016490,-0.002452,0.003862
0.52200,-0.023174,-0.000671,0.000948
0.52300,-0.113513,0.008234,0.000139
0.52400,-0.046488,0.000786,-0.006823
0.52500,0.046603,0.001434,0.006129
0.52600,-0.010546,0.000463,-0.005851
0.52700,-0.064944,0.004834,-0.005042
0.52800,-0.014108,-0.005851,0.001758
0.52900,-0.015241,-0.005042,0.009853
0.53000,-0.022041,0.004348,-0.003261
0.53100,-0.007794,0.001272,-0.004394
0.53200,0.002729,0.006776,-0.006985
0.53300,0.000301,0.002405,-0.008766
0.53400,-0.029488,-0.002937,-0.005528
0.53500,-0.031107,-0.000995,0.006453
0.53600,-0.091657,0.004672,0.002243
0.53700,-0.140226,0.004996,-0.006013
0.53800,-0.037421,-0.008766,-0.000671
0.53900,0.101162,0.000948,-0.017022
0.54000,0.166569,0.004024,0.007910
0.54100,0.177739,0.007910,-0.003747
0.54200,0.090963,0.007262,-0.004233
0.54300,0.000301,0.007262,-0.016537
0.54400,-0.102828,0.005481,-0.017832
0.54500,-0.094247,0.007424,-0.000671
0.54600,0.064897,0.001758,-0.001318
0.54700,0.023938,-0.000833,-0.007794
0.54800,-0.094895,-0.006823,-0.006499
0.54900,-0.044545,-0.004071,-0.003423
0.55000,0.016490,0.006776,-0.000023
0.55100,0.044984,-0.013946,-0.002775
0.55200,0.008557,-0.003909,-0.001156
0.55300,0.007586,-0.000509,0.000786
0.55400,0.039156,-0.007147,-0.006337
0.55500,0.050489,-0.009089,-0.003909
0.55600,0.030090,0.000948,-0.002452
0.55700,0.032842,-0.005204,-0.004233
0.55800,0.027823,0.006291,-0.007309
0.55900,-0.016051,0.000624,-0.005690
0.56000,-0.068182,-0.013299,-0.002290
0.56100,-0.035640,0.001272,-0.012004
0.56200,0.031709,0.014386,-0.010385
0.56300,-0.009575,0.016166,-0.003747
0.56400,-0.037907,0.004834,-0.012165
0.56500,-0.075629,0.004834,-0.007794
0.56600,-0.015241,0.001596,0.007910
0.56700,0.056479,0.007262,-0.002290
0.56800,0.014224,0.006776,-0.007470
0.56900,0.019890,0.002405,-0.013299
0.57000,-0.007147,-0.006175,-0.007632
0.57100,-0.034507,0.009853,-0.001480
0.57200,-0.019775,0.005481,-0.000995
0.57300,-0.024631,0.008557,-0.004556
0.57400,0.009529,0.005158,0.010662
0.57500,0.004510,-0.006985,0.000948
0.57600,0.004024,0.006453,0.002567
0.57700,0.035756,0.004510,-0.006499
0.57800,0.062307,0.000139,-0.019775
0.57900,0.057612,0.003539,-0.000833
0.58000,-0.069153,0.007586,-0.009413
0.58100,-0.071258,0.007424,0.003053
0.58200,0.085296,0.012119,-0.017184
0.58300,0.023776,0.008557,-0.012651
0.58400,0.029766,-0.001642,-0.009413
0.58500,0.059069,0.009529,-0.002937
0.58600,0.006129,0.006453,0.012281
0.58700,0.033489,0.002405,-0.007632
0.58800,0.017462,-0.013299,-0.006661
0.58900,-0.004233,-0.001966,-0.014108
0.59000,0.007586,-0.004718,0.003862
0.59100,0.059069,-0.002614,0.015681
0.59200,0.077363,-0.009737,-0.000833
0.59300,0.074611,-0.012327,0.004672
0.59400,0.071373,-0.001318,0.002243
